transaction_id,customer_id,source_table,amount,country_risk_score,velocity_24h,kyc_complete,kyb_complete,is_cross_border,rule_alert,model_probability,risk_tier
TX100000,1535,core_banking,3820.15,9,5,1,1,1,1,0.611519828331805,Medium
TX100001,5643,kyc,1550.96,10,2,1,1,0,1,0.34395548498721223,Low
TX100002,4927,wire,5762.7,9,1,1,1,0,1,0.2634127501935914,Low
TX100003,3633,kyc,4317.11,10,4,1,1,1,1,0.6227175302606158,Medium
TX100004,3598,cards,2926.03,6,2,1,1,0,0,0.1521819828557554,Low
TX100005,6151,kyc,6271.28,7,4,0,1,0,0,0.5198632407494778,Medium
TX100006,1515,cards,594.34,8,3,1,1,0,1,0.27107049700937064,Low
TX100007,5184,cards,2120.36,8,5,1,1,0,1,0.3927452040049263,Medium
TX100008,2208,cards,1512.19,8,3,1,1,0,1,0.27746454142927496,Low
TX100009,1565,wire,1677.65,5,1,1,1,0,0,0.0918475394570713,Low
TX100010,4158,core_banking,3121.35,4,2,1,0,0,0,0.17210910774624347,Low
TX100011,6853,wire,1465.55,1,4,1,1,1,0,0.10729197128323249,Low
TX100012,5414,kyc,19476.53,10,4,1,1,0,1,0.618144161491272,Medium
TX100013,5566,core_banking,5719.67,6,3,1,1,0,0,0.2026502950700128,Low
TX100014,5304,kyc,1645.22,2,5,1,1,0,0,0.10598572759391363,Low
TX100015,5716,kyc,638.78,9,5,1,1,0,1,0.4482750371866761,Medium
TX100016,4079,core_banking,2031.56,9,2,1,1,1,1,0.4112269847273665,Medium
TX100017,1768,wire,2618.33,7,3,1,0,1,0,0.512907519093054,Medium
TX100018,6038,cards,1929.57,6,3,1,1,0,0,0.18205815811814383,Low
TX100019,3702,wire,46280.97,10,1,1,1,0,1,0.6614659768329513,High
TX100020,4002,cards,696.31,2,2,1,1,0,0,0.05138634414935486,Low
TX100021,3224,core_banking,3831.59,10,3,1,1,0,1,0.42167665078364885,Medium
TX100022,2095,cards,3197.32,9,3,1,1,0,1,0.35021511090154195,Medium
TX100023,6560,core_banking,2838.04,3,4,1,1,0,0,0.11297880925194556,Low
TX100024,5689,cards,523.54,3,2,1,0,0,0,0.12546383488485882,Low
TX100025,4863,kyc,3488.5,8,3,1,1,1,1,0.41631907469480506,Medium
TX100026,3414,kyc,4360.77,7,7,1,1,0,0,0.465710644430429,Medium
TX100027,5936,core_banking,7403.39,7,4,1,1,1,0,0.44253470734965383,Medium
TX100028,4272,wire,5902.96,2,3,1,1,0,0,0.07703038213688168,Low
TX100029,3660,core_banking,12311.03,10,2,1,1,0,1,0.4331246319356058,Medium
TX100030,3702,core_banking,470.5,10,7,1,1,1,1,0.7533328862321366,High
TX100031,2363,wire,2878.51,4,4,1,1,0,0,0.1443955029803148,Low
TX100032,1552,cards,44556.18,2,1,1,1,0,1,0.16375726279085187,Low
TX100033,4327,wire,10510.1,1,1,1,1,0,0,0.04301880070352932,Low
TX100034,6327,core_banking,851.13,2,3,1,1,0,0,0.06536247581220163,Low
TX100035,1382,core_banking,3976.42,1,1,1,1,0,0,0.034528707121484696,Low
TX100036,6149,wire,1277.41,2,4,1,1,1,0,0.1364267774061912,Low
TX100037,5965,core_banking,2364.83,6,0,1,1,1,0,0.15614034433839455,Low
TX100038,2660,core_banking,26894.04,5,3,1,1,0,1,0.2872641703045201,Low
TX100039,4789,kyc,9494.75,9,5,1,1,0,1,0.5255567710559528,Medium
TX100040,1991,wire,796.36,8,3,1,1,0,1,0.27246986500714404,Low
TX100041,5548,kyc,1693.88,6,3,1,0,0,0,0.30773832489244146,Low
TX100042,5203,wire,3643.92,7,5,1,1,1,0,0.4719138962374789,Medium
TX100043,3127,cards,2795.23,10,1,1,1,0,1,0.2989784879662088,Low
TX100044,1407,wire,4980.22,4,7,1,1,0,0,0.2777414966026322,Low
TX100045,6824,kyc,1678.47,9,4,1,1,0,1,0.39621682557612353,Medium
TX100046,3674,wire,2524.45,1,2,0,0,0,0,0.1777532397498753,Low
TX100047,6358,cards,1659.05,10,3,1,0,1,1,0.702256584828325,High
TX100048,5067,kyc,2520.91,5,1,1,1,1,0,0.15293451920731788,Low
TX100049,5670,wire,7360.65,1,3,1,1,0,0,0.06224694143458116,Low
TX100050,5559,kyc,4898.79,1,3,1,1,0,0,0.05740299540246597,Low
TX100051,2167,wire,1805.69,1,3,1,1,0,0,0.051818394916834966,Low
TX100052,3183,cards,11297.09,1,4,1,1,0,0,0.08910583868734662,Low
TX100053,3800,kyc,10548.47,10,4,1,1,0,1,0.5421984909397871,Medium
TX100054,3986,wire,3636.89,3,4,1,1,0,0,0.11581124972006822,Low
TX100055,1262,kyc,2812.79,4,7,0,1,0,0,0.4671592607212606,Medium
TX100056,4279,kyc,21216.6,4,2,1,1,0,0,0.16281656570574193,Low
TX100057,1925,cards,18158.96,1,2,1,1,0,0,0.07014680882206867,Low
TX100058,5460,core_banking,800.34,1,0,0,1,0,0,0.057758662528950205,Low
TX100059,5098,core_banking,12019.6,3,6,1,1,1,1,0.3341856947344041,Low
TX100060,6535,wire,20410.18,10,3,1,1,0,1,0.5657068636947096,Medium
TX100061,5468,kyc,7020.85,2,4,1,1,0,0,0.10026620384796177,Low
TX100062,3199,kyc,2282.62,10,2,1,1,0,1,0.3497568206827224,Low
TX100063,6805,core_banking,2576.83,9,1,1,1,0,1,0.24235507249468813,Low
TX100064,3465,core_banking,20143.09,1,3,1,1,1,1,0.15251737029326026,Low
TX100065,2954,wire,8395.29,10,4,1,1,1,1,0.6556198862163402,High
TX100066,6433,cards,6293.38,6,3,1,1,0,0,0.20591423902896067,Low
TX100067,3222,cards,37525.7,8,1,1,1,1,1,0.587441705348683,Medium
TX100068,1458,core_banking,1329.15,5,1,1,1,0,0,0.0908351793698187,Low
TX100069,3817,core_banking,3325.09,2,5,1,1,0,0,0.11168719765540992,Low
TX100070,5774,wire,4402.81,7,0,1,1,0,0,0.1317124673022421,Low
TX100071,2136,wire,2946.62,8,6,1,1,0,1,0.4608631476454959,Medium
TX100072,3777,kyc,578.04,5,3,1,1,0,0,0.1382658418042119,Low
TX100073,1779,cards,9935.51,1,1,1,1,0,0,0.04219844861324833,Low
TX100074,5118,wire,1717.78,3,1,1,1,0,0,0.054687639402669186,Low
TX100075,3854,kyc,1687.27,3,6,1,1,0,0,0.1678495026977483,Low
TX100076,2981,cards,2542.62,1,3,1,0,0,0,0.10146896120253034,Low
TX100077,2361,core_banking,2892.19,2,4,0,1,0,0,0.19173537421562611,Low
TX100078,4386,kyc,3224.38,3,1,1,1,0,0,0.05747855774465528,Low
TX100079,5018,core_banking,9544.41,9,5,1,1,1,1,0.657923518700539,High
TX100080,6641,cards,11717.59,4,2,1,1,0,0,0.12240130931436352,Low
TX100081,3622,core_banking,2809.21,3,0,1,1,0,0,0.04471598500917862,Low
TX100082,1964,wire,2001.91,8,3,1,1,0,1,0.28091384616988263,Low
TX100083,5996,cards,3202.19,10,2,1,1,0,1,0.3571114759729919,Medium
TX100084,4778,cards,1489.71,2,5,1,1,0,0,0.10547110747595526,Low
TX100085,5201,wire,3539.14,1,3,1,1,0,0,0.05488170234604938,Low
TX100086,1583,cards,1413.57,4,6,1,1,0,0,0.2090725290491571,Low
TX100087,2874,cards,30553.11,5,5,1,1,0,1,0.430296596610346,Medium
TX100088,5607,cards,4137.79,6,4,1,1,0,0,0.23592042924306575,Low
TX100089,5993,core_banking,2126.37,10,2,1,1,0,1,0.34851410351347584,Low
TX100090,3611,kyc,7375.08,8,1,1,1,1,1,0.33139726777476086,Low
TX100091,5828,kyc,1062.04,3,0,1,1,0,0,0.042175357937379865,Low
TX100092,6050,wire,1787.26,3,2,1,1,0,0,0.06930297887648385,Low
TX100093,3324,core_banking,5562.44,6,3,1,1,0,0,0.2017625497848596,Low
TX100094,6388,cards,4168.78,6,1,0,1,0,0,0.26423095921455003,Low
TX100095,2729,cards,10391.67,3,4,1,1,0,0,0.1423030919265184,Low
TX100096,2437,core_banking,237.56,9,4,1,1,0,1,0.3842174096868783,Medium
TX100097,5094,kyc,8251.3,2,3,1,0,0,0,0.15430801592688806,Low
TX100098,4820,cards,2114.63,4,5,1,1,1,0,0.2677657490788427,Low
TX100099,1838,wire,1129.74,9,0,0,1,1,1,0.5023852069064894,Medium
TX100100,5996,wire,649.92,5,2,1,1,0,0,0.11132746719989571,Low
TX100101,2199,cards,2088.76,2,1,1,1,1,0,0.07129973721186399,Low
TX100102,5829,cards,17853.92,5,6,1,1,0,0,0.38340682852754215,Medium
TX100103,1044,kyc,9596.08,6,3,1,1,0,0,0.22545813936910922,Low
TX100104,5781,kyc,18664.29,4,5,1,1,1,1,0.3949027038478225,Medium
TX100105,5721,wire,3249.23,6,3,1,1,0,0,0.1890374165665487,Low
TX100106,5682,wire,4051.27,4,1,1,1,1,0,0.12584512810600504,Low
TX100107,4989,core_banking,750.49,1,1,1,1,0,0,0.03095630979066935,Low
TX100108,3829,core_banking,750.35,9,3,1,1,0,1,0.33098404213772153,Low
TX100109,5230,core_banking,3144.62,9,1,1,1,1,1,0.3612510619260485,Medium
TX100110,2662,kyc,919.49,10,2,1,1,1,1,0.4705795618333099,Medium
TX100111,5684,kyc,1545.02,1,4,1,1,1,0,0.10755867083181615,Low
TX100112,4333,core_banking,3801.95,10,1,1,1,0,1,0.30641535208007703,Low
TX100113,3753,cards,12995.27,4,2,1,1,0,0,0.12728664685920563,Low
TX100114,4033,cards,3676.97,3,3,1,1,0,0,0.09268306512390591,Low
TX100115,4412,kyc,934.19,3,1,1,1,0,0,0.05328701190397949,Low
TX100116,1223,cards,588.87,6,3,1,1,1,0,0.26906146005233594,Low
TX100117,1838,core_banking,4104.79,2,4,1,1,0,0,0.09142717005603515,Low
TX100118,2472,wire,1940.92,4,3,1,1,0,0,0.11283866490038753,Low
TX100119,1687,core_banking,4089.41,5,2,1,1,0,0,0.1238061142558838,Low
TX100120,3637,wire,2968.54,7,5,1,1,0,0,0.3349009634689867,Low
TX100121,5010,kyc,3393.29,9,5,1,1,1,1,0.6079647514074725,Medium
TX100122,4926,core_banking,12107.47,2,2,1,1,0,0,0.07472760890815874,Low
TX100123,3826,kyc,10442.41,10,2,1,1,0,1,0.4171423033151663,Medium
TX100124,6130,wire,5265.05,5,6,0,1,0,0,0.49606926847948024,Medium
TX100125,4391,core_banking,1487.44,1,1,1,1,0,0,0.03173948772749567,Low
TX100126,1475,core_banking,2098.03,4,2,1,1,0,0,0.09058038267860258,Low
TX100127,5589,core_banking,7810.69,10,8,1,1,0,1,0.7452380561124324,High
TX100128,4447,kyc,13378.44,5,1,1,1,0,0,0.13218746653341135,Low
TX100129,4808,wire,1018.7,7,4,1,1,0,0,0.2680879025456272,Low
TX100130,4392,cards,16773.03,4,1,1,1,0,0,0.1147672998165768,Low
TX100131,4321,wire,1669.46,5,2,1,1,1,0,0.18368636088370077,Low
TX100132,1543,cards,7106.67,5,3,1,1,0,0,0.1678046714669204,Low
TX100133,4355,cards,59937.56,6,2,1,1,1,1,0.6958926402947376,High
TX100134,5769,wire,742.7,10,2,1,1,0,1,0.33760052336370155,Low
TX100135,2823,core_banking,6034.23,5,3,1,1,0,0,0.162628147372428,Low
TX100136,4617,kyc,2659.92,3,2,1,1,0,0,0.07129911478317619,Low
TX100137,1184,kyc,5694.42,3,3,0,1,1,0,0.3184953280942357,Low
TX100138,3084,kyc,1960.64,5,2,1,1,1,0,0.18521943111822428,Low
TX100139,3620,core_banking,305.07,10,2,1,1,0,1,0.33418379231408313,Low
TX100140,6896,cards,1713.32,6,3,1,1,0,0,0.18093378404797766,Low
TX100141,2287,cards,5151.3,1,5,1,1,0,0,0.09197922683440772,Low
TX100142,2659,wire,14033.68,9,4,1,1,0,1,0.5027946708969241,Medium
TX100143,3451,cards,5461.83,5,2,1,1,0,0,0.1291116835906211,Low
TX100144,6955,cards,15879.07,2,6,1,1,1,1,0.30275086422884157,Low
TX100145,6120,core_banking,2222.89,9,2,1,0,0,1,0.449621810722063,Medium
TX100146,1208,wire,2049.22,7,2,1,1,0,0,0.187204597104143,Low
TX100147,2403,wire,5131.11,5,2,1,1,0,0,0.1278157247694336,Low
TX100148,5930,wire,2502.37,5,3,1,1,0,0,0.14648787972816357,Low
TX100149,1349,cards,11186.97,3,2,1,1,0,0,0.0937693296620134,Low
TX100150,6134,kyc,892.84,9,4,1,1,0,1,0.38965786312516226,Medium
TX100151,2688,wire,8627.4,5,2,1,1,0,0,0.14208970003148552,Low
TX100152,6505,core_banking,12185.81,6,4,1,1,0,0,0.2903887690281025,Low
TX100153,2761,cards,5245.3,10,2,1,1,0,1,0.3736910250022708,Medium
TX100154,3605,wire,9069.97,3,2,1,1,0,0,0.08765967870813181,Low
